Group1	Group2	Similarity
0	1	4.079790215322983
0	2	2.8986790708651577
0	4	4.312170302364695
0	5	3.936120570396061
0	6	3.1609762374507246
0	8	4.211743892313077
0	9	4.528583856170523
0	10	4.300105835244528
0	15	3.2206452946937296
0	16	3.1566854431639984
0	17	4.445587643872938
0	19	3.0156838993588884
0	21	4.397126651735527
0	26	3.057844243523816
0	27	3.17363724361371
0	28	2.9982816243500334
0	31	3.3988015827910107
0	32	3.838417611909486
0	35	2.981622952716723
0	37	4.364126471788565
0	38	2.95585324549399
0	43	2.8257625167347737
0	44	3.975546847633292
0	45	4.021587595351955
0	46	2.9965765037765095
0	47	3.387402887839191
0	48	4.019117942797547
0	49	2.8640761197091313
0	50	3.309474822681323
0	51	3.026214083050596
0	53	3.129631039167
0	54	3.598398759027038
0	61	3.985649145913645
0	62	4.004069688961234
0	63	2.998559917676221
0	64	3.003785856839667
0	66	2.884087304395613
0	67	2.917272744014349
0	71	4.353272319901943
0	72	2.934997188635302
0	73	2.8286340146413065
0	76	3.5321549226706104
0	81	3.490902291266306
0	83	2.99305477872782
0	85	3.765844287249678
0	86	3.3604725976006904
0	88	4.00345927822843
0	90	3.3733498541729876
0	92	3.9619311239758863
0	93	3.3706759496993723
0	94	2.9128014215723237
0	95	2.809521468181089
0	96	2.9909083765515696
0	97	4.025119320490169
0	99	2.967524752885942
1	4	3.2875486898170854
1	5	3.407823635713341
1	6	3.5396184443211505
1	8	3.2512488050631907
1	9	3.2065151681456423
1	10	3.494160144768569
1	15	3.4199715554462933
1	16	3.4464989046950913
1	17	4.0174368864419066
1	19	3.06397999161229
1	21	2.996133709133324
1	26	2.97959453627227
1	27	3.3420047390874874
1	28	3.0076312142419335
1	31	4.93775524999383
1	32	3.158828831109736
1	35	3.010328826886407
1	37	3.989540886004474
1	38	3.025812467477886
1	44	4.4019547277307725
1	45	2.924999367247273
1	47	3.9472286353994757
1	48	2.944588740499473
1	49	2.9695202007054817
1	50	3.0206807120727515
1	51	3.9350911174207988
1	53	3.3289655024005267
1	58	2.90617359245083
1	61	2.949981289509485
1	62	2.9046005835025213
1	63	2.8994024447567064
1	64	3.9041617789420355
1	65	2.982733147409767
1	66	2.9903724444444273
1	67	3.0181073464825015
1	71	3.9444819175547465
1	73	2.9277412549365933
1	83	2.8927939669629934
1	85	2.857738053885039
1	86	3.892229244687016
1	88	2.9017774637464786
1	90	3.9035404668689515
1	92	3.3241168191035158
1	93	3.9149651345557905
1	95	2.906269567769169
1	96	3.8901716085169507
1	97	2.9801496522799993
2	7	3.437873918702903
2	11	3.321727820495793
2	12	3.589822088767158
2	13	4.228746225631132
2	14	4.141387253313025
2	17	3.148986069013862
2	18	3.1638844656368246
2	20	3.11149997396764
2	23	4.501274226069507
2	24	4.018599009570184
2	25	4.125650128332906
2	30	4.030846036149846
2	33	3.0879069008741276
2	36	4.126158417640007
2	37	3.0260231928860026
2	39	4.061303627379943
2	40	4.02738505274898
2	41	3.0017216291964752
2	42	3.3722257785969796
2	46	4.386427873320068
2	50	3.962149610561031
2	52	3.0532728168751304
2	55	4.021171340120483
2	56	3.920914996281591
2	59	3.025841560034497
2	68	3.001124832495706
2	69	3.0204736888954664
2	70	4.397683493068635
2	71	2.993344388039073
2	74	4.023626960447433
2	75	3.98232521089373
2	77	2.952447219685287
2	79	3.3822797007979135
2	80	3.6348142430342336
2	82	3.993452072918158
2	84	3.3872851978386254
2	87	4.010045186934973
2	89	4.951606518094708
2	91	4.078947960351236
2	94	4.284564516201131
2	98	3.0054889853044733
2	99	2.970827643736695
3	4	2.8102376916081706
3	6	3.478114232779673
3	7	3.57830394499553
3	11	3.411579027298729
3	12	3.4172922768857203
3	13	3.308967330775612
3	15	3.2684177061366566
3	16	3.233623880578651
3	26	3.1336242422348946
3	27	3.1060497659666053
3	33	3.0675579729955507
3	35	3.71153906670029
3	41	3.0940823366042944
3	42	3.0963000468380457
3	47	3.048225916624758
3	49	3.333230931533486
3	50	3.047465504690376
3	57	3.0435979288308204
3	62	2.9837184389292792
3	68	4.021136833040102
3	69	2.998144470960784
3	73	2.903633327423015
3	77	3.025541703044305
3	79	2.9675384746354494
3	90	2.9732558092416665
3	92	3.027826483042768
3	93	2.969026258057456
3	98	2.9856851326783103
3	99	3.022673989297915
4	5	4.501070917376053
4	6	3.5418504879069053
4	8	4.6671253922933325
4	9	4.600717148123257
4	10	4.554804878253131
4	15	3.3274151018920968
4	16	3.2260046023946116
4	17	4.27820656440293
4	19	3.5702312098147257
4	21	4.250242596324732
4	24	3.1258455275151134
4	26	3.2018554132121206
4	27	3.1589685312501623
4	28	3.4818091127375315
4	31	3.1279473446792343
4	32	3.808447712279313
4	35	3.1019428183295585
4	37	4.092297273652847
4	38	3.04698301106631
4	44	3.0543323860966067
4	45	4.0881830756706545
4	47	3.095828476283451
4	48	4.092480636348222
4	49	2.9356295128204484
4	50	3.013522084611484
4	51	3.461920399303041
4	53	3.060777455163572
4	54	4.026752831798879
4	57	3.0053370893676212
4	61	4.03303754351955
4	62	4.040768453444214
4	63	3.0345658309540893
4	64	4.03986189217285
4	66	3.5196744980890826
4	67	2.9620841370808053
4	71	4.0271107304908025
4	73	2.8753329967004335
4	74	3.0448932497047467
4	76	3.568061376835134
4	81	3.5237369497105377
4	83	3.018503159225033
4	85	3.7986009054441343
4	86	3.016137097157772
4	88	5.02582425391036
4	90	3.027589595079437
4	92	2.99272335711774
4	93	3.0228493686821887
4	95	2.841407784134728
4	96	3.010823561381927
4	97	4.035916018625068
4	99	2.9973551454114453
5	6	3.7693079925659188
5	8	4.537694601648126
5	9	4.444563573127217
5	10	4.370242264484347
5	15	3.11433332283387
5	16	3.0850925386145924
5	17	4.031833344094267
5	19	3.048655683228926
5	21	3.988226913798212
5	26	3.0623092933868366
5	27	2.89124350157458
5	28	2.909998886377298
5	31	2.845901268946016
5	32	4.152841261454131
5	34	3.0424282316796116
5	35	2.8936624266051725
5	37	3.869880099776142
5	38	2.890732920847939
5	43	3.2312049851543247
5	44	2.8720630062838954
5	45	3.8133905039532565
5	47	2.8109877724141947
5	48	3.8547260624250086
5	49	2.9488090638496445
5	50	2.8610039406031325
5	53	2.8082810776773495
5	54	3.949170952734523
5	58	3.052114613253262
5	60	3.4086687222924814
5	61	3.823832787778434
5	62	3.7890773235845527
5	63	3.10244896693419
5	66	2.851776322517443
5	67	2.8722449716345997
5	71	3.7622407454641684
5	73	2.896162854305502
5	76	4.192396574687124
5	81	3.7598614544986035
5	85	3.967350812311954
5	88	3.717856948072559
5	95	2.891282369231844
5	96	3.7057014285175267
5	97	3.733375483373308
6	8	3.8576192639302818
6	9	3.7675389079780737
6	10	4.550366656949556
6	15	5.270330373466113
6	16	5.2407729367711395
6	17	3.547188884706533
6	19	3.2006308658830287
6	21	3.1348928196572245
6	22	3.3331332242905325
6	26	4.064048640893534
6	27	5.025270185668751
6	28	3.0477726268607395
6	31	3.3419205256179754
6	32	4.03162198437763
6	34	3.935071940588488
6	35	4.030415265535531
6	37	3.3712925777619
6	38	3.028350516822078
6	43	3.772880480599355
6	44	3.116125557032057
6	45	2.9194550869097267
6	47	4.3050835909442995
6	48	2.930530468640889
6	49	4.0780212380811305
6	51	2.9177131814495514
6	53	3.9352537503113316
6	54	2.8381450113558397
6	58	4.003150403461046
6	60	2.910866962355089
6	61	2.8977263567700255
6	62	2.8575531675019517
6	63	2.8518371409059142
6	64	2.855970439908318
6	66	2.988655445899135
6	67	2.9544824876933653
6	71	3.2525351353312506
6	73	4.040821906836202
6	79	2.8351914519689974
6	83	2.829164610680456
6	85	3.012621443238934
6	86	3.1951071962193254
6	88	2.834007836978248
6	90	4.203098790992193
6	92	4.014639084160949
6	93	4.197700051043706
6	95	3.036240637379378
6	96	2.8201586347609657
6	97	2.9751712797588823
7	11	4.782730223793814
7	12	4.594418786563932
7	13	4.534661250878398
7	14	3.401430001792959
7	18	3.372746249262019
7	23	3.3103725816149083
7	24	3.3271776884335345
7	25	3.28622459820929
7	30	3.1597916138165827
7	33	4.204823104381484
7	36	3.1837383486451603
7	39	3.1508030579848816
7	40	3.115245562637531
7	41	4.089586460617321
7	42	4.087701429409123
7	46	3.0938472568468187
7	52	3.2556847326055025
7	55	3.4472106575711168
7	56	2.9934540012133084
7	68	4.041224447754476
7	69	4.118799448250586
7	70	3.072244968095924
7	74	3.193678769399507
7	75	2.998384789913907
7	77	4.142019548017441
7	79	4.053552762816921
7	82	3.0731569212312735
7	87	3.046158903426
7	89	2.9786861551076025
7	94	2.9414396547202433
7	98	3.0293758460857547
8	9	5.901467555051522
8	10	4.946224644919427
8	15	3.6406174336522987
8	16	3.513875833157007
8	17	4.455029181400178
8	19	3.342402052088434
8	21	4.3975923264312975
8	26	3.278557197680222
8	27	3.3725053881013736
8	28	3.2067018266345664
8	31	3.2272657255158252
8	32	4.024995397157603
8	34	2.809343607357846
8	35	3.1670999117127536
8	36	3.1690485727598605
8	37	4.2218904969926765
8	38	3.1227651254974025
8	44	3.556784784536045
8	45	4.124096268721093
8	47	3.19049834508515
8	48	4.133302871246597
8	49	3.0038570726603124
8	50	3.1262277127807336
8	51	3.1182943544109083
8	53	3.256285902137404
8	54	3.7087213553214022
8	58	3.8244644954056515
8	61	4.080414122405724
8	62	4.0524154752665815
8	63	3.043735831759738
8	64	3.0485819145995805
8	66	2.9730074961889454
8	67	3.0066427128633713
8	71	4.120539455947163
8	73	2.908770346136781
8	76	3.60060835318426
8	81	3.553073169198444
8	83	3.018672038164546
8	85	3.8396059288837607
8	86	3.066340507370511
8	88	4.025273143075373
8	90	3.0766278293628
8	92	3.0470691853111025
8	93	3.0725328309647466
8	95	2.871562687048962
8	96	3.0089347787728014
8	97	6.004427857331171
8	99	3.032818363844226
9	10	5.035981939521677
9	15	3.6946988819862567
9	16	3.5598775146793042
9	17	4.500933074981747
9	19	3.3837445637474755
9	21	5.347674415618055
9	26	3.3114485631516937
9	27	3.3999439557888347
9	28	3.2315820554462955
9	31	3.2516205406937173
9	32	4.0481368966291615
9	34	2.831642141168538
9	35	3.18884397708165
9	36	3.1886545247351537
9	37	4.242266454271197
9	38	3.142023860851926
9	43	3.5389714230330336
9	44	3.157020487949674
9	45	4.141448373202539
9	47	3.207696315891603
9	48	4.149787569438249
9	49	3.0187902767880863
9	50	3.1410647306028805
9	51	3.1340630366924995
9	53	3.269753436477237
9	54	3.7217001128629525
9	58	3.7390152960855922
9	61	4.08945988929726
9	62	4.062825814785505
9	63	3.0540439002652136
9	64	3.058837821820859
9	66	2.98166987984947
9	67	3.015225710225965
9	71	4.128272401398997
9	73	2.9171253878539383
9	76	3.60800088011016
9	81	3.559845858920812
9	83	3.0262477640801677
9	85	3.845785719480942
9	86	3.073686614290916
9	88	4.032368547895555
9	90	3.083670479691119
9	92	3.0523108797467313
9	93	3.0770926847467432
9	95	2.87678550565572
9	96	3.015441633009413
9	97	5.039744380412817
9	99	3.0378216708104526
10	15	4.604879581268391
10	16	4.461729622223894
10	17	4.874206757154958
10	19	3.4168351745052457
10	21	4.445829160516441
10	23	3.38931614817613
10	26	3.353358148673265
10	27	4.298795601891728
10	28	3.3080769687142992
10	31	3.6029293027731155
10	32	4.929999545019992
10	34	2.8484480076251524
10	35	3.202149297021186
10	37	4.572064633397148
10	38	3.153016653869796
10	44	3.281882849836427
10	45	4.161827541100484
10	47	3.55202730208976
10	48	4.175332329101229
